"","Gender","Age","Corruption","Severity","Service","sum_AP","n"
"1","Female","0-2","gaussian-noise",1,"AWS",420.148514851485,684
"2","Female","0-2","gaussian-noise",1,"Azure",626.732673267327,684
"3","Female","0-2","gaussian-noise",1,"GCP",678.673267326733,682
"4","Female","0-2","gaussian-noise",2,"AWS",304.846534653465,684
"5","Female","0-2","gaussian-noise",2,"Azure",534.742574257426,684
"6","Female","0-2","gaussian-noise",2,"GCP",662.178217821782,682
"7","Female","0-2","gaussian-noise",3,"AWS",164.534653465347,684
"8","Female","0-2","gaussian-noise",3,"Azure",312.891089108911,684
"9","Female","0-2","gaussian-noise",3,"GCP",655.678217821782,682
"10","Female","0-2","gaussian-noise",4,"AWS",61.8415841584158,684
"11","Female","0-2","gaussian-noise",4,"Azure",114.029702970297,684
"12","Female","0-2","gaussian-noise",4,"GCP",584.178217821782,682
"13","Female","0-2","gaussian-noise",5,"AWS",8,684
"14","Female","0-2","gaussian-noise",5,"Azure",17.5049504950495,684
"15","Female","0-2","gaussian-noise",5,"GCP",443.514851485149,682
"16","Female","0-2","shot-noise",1,"AWS",388.653465346535,684
"17","Female","0-2","shot-noise",1,"Azure",622.405940594059,684
"18","Female","0-2","shot-noise",1,"GCP",677.178217821782,682
"19","Female","0-2","shot-noise",2,"AWS",271.351485148515,684
"20","Female","0-2","shot-noise",2,"Azure",486.752475247525,684
"21","Female","0-2","shot-noise",2,"GCP",662.178217821782,682
"22","Female","0-2","shot-noise",3,"AWS",152.683168316832,684
"23","Female","0-2","shot-noise",3,"Azure",254.881188118812,684
"24","Female","0-2","shot-noise",3,"GCP",643.683168316832,682
"25","Female","0-2","shot-noise",4,"AWS",38,684
"26","Female","0-2","shot-noise",4,"Azure",61.5049504950495,684
"27","Female","0-2","shot-noise",4,"GCP",569.861386138614,682
"28","Female","0-2","shot-noise",5,"AWS",12,684
"29","Female","0-2","shot-noise",5,"Azure",19,684
"30","Female","0-2","shot-noise",5,"GCP",487.856435643564,682
"31","Female","0-2","impulse-noise",1,"AWS",228.376237623762,684
"32","Female","0-2","impulse-noise",1,"Azure",581.415841584158,684
"33","Female","0-2","impulse-noise",1,"GCP",675.014851485148,682
"34","Female","0-2","impulse-noise",2,"AWS",211.217821782178,684
"35","Female","0-2","impulse-noise",2,"Azure",485.564356435644,684
"36","Female","0-2","impulse-noise",2,"GCP",661.178217821782,682
"37","Female","0-2","impulse-noise",3,"AWS",160.029702970297,684
"38","Female","0-2","impulse-noise",3,"Azure",400.237623762376,684
"39","Female","0-2","impulse-noise",3,"GCP",654.178217821782,682
"40","Female","0-2","impulse-noise",4,"AWS",71.3366336633663,684
"41","Female","0-2","impulse-noise",4,"Azure",128.524752475248,684
"42","Female","0-2","impulse-noise",4,"GCP",601.683168316832,682
"43","Female","0-2","impulse-noise",5,"AWS",19.3366336633663,684
"44","Female","0-2","impulse-noise",5,"Azure",26.5049504950495,684
"45","Female","0-2","impulse-noise",5,"GCP",501.183168316832,682
"46","Female","0-2","defocus-blur",1,"AWS",504.59900990099,684
"47","Female","0-2","defocus-blur",1,"Azure",678.376237623762,684
"48","Female","0-2","defocus-blur",1,"GCP",679.178217821782,682
"49","Female","0-2","defocus-blur",2,"AWS",490.440594059406,684
"50","Female","0-2","defocus-blur",2,"Azure",677.376237623762,684
"51","Female","0-2","defocus-blur",2,"GCP",680.178217821782,682
"52","Female","0-2","defocus-blur",3,"AWS",471.717821782178,684
"53","Female","0-2","defocus-blur",3,"Azure",670.574257425743,684
"54","Female","0-2","defocus-blur",3,"GCP",679.178217821782,682
"55","Female","0-2","defocus-blur",4,"AWS",431.024752475248,684
"56","Female","0-2","defocus-blur",4,"Azure",659.584158415842,684
"57","Female","0-2","defocus-blur",4,"GCP",670.683168316832,682
"58","Female","0-2","defocus-blur",5,"AWS",358.678217821782,684
"59","Female","0-2","defocus-blur",5,"Azure",642.089108910891,684
"60","Female","0-2","defocus-blur",5,"GCP",633.861386138614,682
"61","Female","0-2","glass-blur",1,"AWS",476.480198019802,684
"62","Female","0-2","glass-blur",1,"Azure",677.881188118812,684
"63","Female","0-2","glass-blur",1,"GCP",679.673267326733,682
"64","Female","0-2","glass-blur",2,"AWS",468.014851485149,684
"65","Female","0-2","glass-blur",2,"Azure",674.891089108911,684
"66","Female","0-2","glass-blur",2,"GCP",680.178217821782,682
"67","Female","0-2","glass-blur",3,"AWS",406.267326732673,684
"68","Female","0-2","glass-blur",3,"Azure",668.415841584158,684
"69","Female","0-2","glass-blur",3,"GCP",671.178217821782,682
"70","Female","0-2","glass-blur",4,"AWS",390.257425742574,684
"71","Female","0-2","glass-blur",4,"Azure",662.09900990099,684
"72","Female","0-2","glass-blur",4,"GCP",661.851485148515,682
"73","Female","0-2","glass-blur",5,"AWS",316.079207920792,684
"74","Female","0-2","glass-blur",5,"Azure",642.772277227723,684
"75","Female","0-2","glass-blur",5,"GCP",646.851485148515,682
"76","Female","0-2","motion-blur",1,"AWS",509.054455445545,684
"77","Female","0-2","motion-blur",1,"Azure",679.851485148515,684
"78","Female","0-2","motion-blur",1,"GCP",679.673267326733,682
"79","Female","0-2","motion-blur",2,"AWS",475.935643564356,684
"80","Female","0-2","motion-blur",2,"Azure",678.376237623762,684
"81","Female","0-2","motion-blur",2,"GCP",680.178217821782,682
"82","Female","0-2","motion-blur",3,"AWS",459.440594059406,684
"83","Female","0-2","motion-blur",3,"Azure",674.544554455446,684
"84","Female","0-2","motion-blur",3,"GCP",676.178217821782,682
"85","Female","0-2","motion-blur",4,"AWS",414.584158415842,684
"86","Female","0-2","motion-blur",4,"Azure",642.584158415842,684
"87","Female","0-2","motion-blur",4,"GCP",667.356435643564,682
"88","Female","0-2","motion-blur",5,"AWS",356.39603960396,684
"89","Female","0-2","motion-blur",5,"Azure",586.752475247525,684
"90","Female","0-2","motion-blur",5,"GCP",626.608910891089,682
"91","Female","0-2","zoom-blur",1,"AWS",528.658415841584,684
"92","Female","0-2","zoom-blur",1,"Azure",671.574257425743,684
"93","Female","0-2","zoom-blur",1,"GCP",676.178217821782,682
"94","Female","0-2","zoom-blur",2,"AWS",489.891089108911,684
"95","Female","0-2","zoom-blur",2,"Azure",654.257425742574,684
"96","Female","0-2","zoom-blur",2,"GCP",674.851485148515,682
"97","Female","0-2","zoom-blur",3,"AWS",466.143564356436,684
"98","Female","0-2","zoom-blur",3,"Azure",614.762376237624,684
"99","Female","0-2","zoom-blur",3,"GCP",671.851485148515,682
"100","Female","0-2","zoom-blur",4,"AWS",404.059405940594,684
"101","Female","0-2","zoom-blur",4,"Azure",549.267326732673,684
"102","Female","0-2","zoom-blur",4,"GCP",670.851485148515,682
"103","Female","0-2","zoom-blur",5,"AWS",346.381188118812,684
"104","Female","0-2","zoom-blur",5,"Azure",438.069306930693,684
"105","Female","0-2","zoom-blur",5,"GCP",657.861386138614,682
"106","Female","0-2","snow",1,"AWS",387.806930693069,684
"107","Female","0-2","snow",1,"Azure",664.881188118812,684
"108","Female","0-2","snow",1,"GCP",540.168316831683,682
"109","Female","0-2","snow",2,"AWS",273.79702970297,684
"110","Female","0-2","snow",2,"Azure",582.405940594059,684
"111","Female","0-2","snow",2,"GCP",415.356435643564,682
"112","Female","0-2","snow",3,"AWS",297.059405940594,684
"113","Female","0-2","snow",3,"Azure",600.069306930693,684
"114","Female","0-2","snow",3,"GCP",196.851485148515,682
"115","Female","0-2","snow",4,"AWS",199.19801980198,684
"116","Female","0-2","snow",4,"Azure",528.752475247525,684
"117","Female","0-2","snow",4,"GCP",73.3415841584158,682
"118","Female","0-2","snow",5,"AWS",222.123762376238,684
"119","Female","0-2","snow",5,"Azure",441.237623762376,684
"120","Female","0-2","snow",5,"GCP",220.346534653465,682
"121","Female","0-2","frost",1,"AWS",440.772277227723,684
"122","Female","0-2","frost",1,"Azure",659.554455445545,684
"123","Female","0-2","frost",1,"GCP",654.673267326733,682
"124","Female","0-2","frost",2,"AWS",281.554455445545,684
"125","Female","0-2","frost",2,"Azure",572.574257425743,684
"126","Female","0-2","frost",2,"GCP",556.678217821782,682
"127","Female","0-2","frost",3,"AWS",165.475247524752,684
"128","Female","0-2","frost",3,"Azure",447.405940594059,684
"129","Female","0-2","frost",3,"GCP",455.188118811881,682
"130","Female","0-2","frost",4,"AWS",139.60396039604,684
"131","Female","0-2","frost",4,"Azure",430.732673267327,684
"132","Female","0-2","frost",4,"GCP",441.683168316832,682
"133","Female","0-2","frost",5,"AWS",123.940594059406,684
"134","Female","0-2","frost",5,"Azure",370.059405940594,684
"135","Female","0-2","frost",5,"GCP",380.188118811881,682
"136","Female","0-2","fog",1,"AWS",533.826732673267,684
"137","Female","0-2","fog",1,"Azure",676.376237623762,684
"138","Female","0-2","fog",1,"GCP",590.356435643564,682
"139","Female","0-2","fog",2,"AWS",511.034653465347,684
"140","Female","0-2","fog",2,"Azure",668.376237623762,684
"141","Female","0-2","fog",2,"GCP",489.356435643564,682
"142","Female","0-2","fog",3,"AWS",488.806930693069,684
"143","Female","0-2","fog",3,"Azure",664.386138613861,684
"144","Female","0-2","fog",3,"GCP",385.346534653465,682
"145","Female","0-2","fog",4,"AWS",443.405940594059,684
"146","Female","0-2","fog",4,"Azure",646.386138613861,684
"147","Female","0-2","fog",4,"GCP",310.851485148515,682
"148","Female","0-2","fog",5,"AWS",296.90099009901,684
"149","Female","0-2","fog",5,"Azure",561.059405940594,684
"150","Female","0-2","fog",5,"GCP",148.346534653465,682
"151","Female","0-2","brightness",1,"AWS",580.307755775578,684
"152","Female","0-2","brightness",1,"Azure",679.356435643564,684
"153","Female","0-2","brightness",1,"GCP",680.504950495049,682
"154","Female","0-2","brightness",2,"AWS",571.326732673267,684
"155","Female","0-2","brightness",2,"Azure",678.693069306931,684
"156","Female","0-2","brightness",2,"GCP",675.168316831683,682
"157","Female","0-2","brightness",3,"AWS",551.270627062706,684
"158","Female","0-2","brightness",3,"Azure",678.029702970297,684
"159","Female","0-2","brightness",3,"GCP",664.514851485148,682
"160","Female","0-2","brightness",4,"AWS",547.420792079208,684
"161","Female","0-2","brightness",4,"Azure",676.871287128713,684
"162","Female","0-2","brightness",4,"GCP",655.514851485148,682
"163","Female","0-2","brightness",5,"AWS",534.589108910891,684
"164","Female","0-2","brightness",5,"Azure",675.049504950495,684
"165","Female","0-2","brightness",5,"GCP",644.009900990099,682
"166","Female","0-2","contrast",1,"AWS",545.658415841584,684
"167","Female","0-2","contrast",1,"Azure",675.376237623762,684
"168","Female","0-2","contrast",1,"GCP",654.346534653465,682
"169","Female","0-2","contrast",2,"AWS",524.306930693069,684
"170","Female","0-2","contrast",2,"Azure",675.891089108911,684
"171","Female","0-2","contrast",2,"GCP",632.851485148515,682
"172","Female","0-2","contrast",3,"AWS",466.821782178218,684
"173","Female","0-2","contrast",3,"Azure",671.405940594059,684
"174","Female","0-2","contrast",3,"GCP",556.356435643564,682
"175","Female","0-2","contrast",4,"AWS",303.326732673267,684
"176","Female","0-2","contrast",4,"Azure",588.584158415842,684
"177","Female","0-2","contrast",4,"GCP",221.841584158416,682
"178","Female","0-2","contrast",5,"AWS",71.2623762376238,684
"179","Female","0-2","contrast",5,"Azure",266.732673267327,684
"180","Female","0-2","contrast",5,"GCP",5,682
"181","Female","0-2","elastic-transform",1,"AWS",216.133663366337,684
"182","Female","0-2","elastic-transform",1,"Azure",362.321782178218,684
"183","Female","0-2","elastic-transform",1,"GCP",578.430693069307,682
"184","Female","0-2","elastic-transform",2,"AWS",53.5891089108911,684
"185","Female","0-2","elastic-transform",2,"Azure",69.9356435643564,684
"186","Female","0-2","elastic-transform",2,"GCP",209.514851485149,682
"187","Female","0-2","elastic-transform",3,"AWS",508.704620462046,684
"188","Female","0-2","elastic-transform",3,"Azure",675.381188118812,684
"189","Female","0-2","elastic-transform",3,"GCP",676.851485148515,682
"190","Female","0-2","elastic-transform",4,"AWS",454.252475247525,684
"191","Female","0-2","elastic-transform",4,"Azure",671.079207920792,684
"192","Female","0-2","elastic-transform",4,"GCP",662.673267326733,682
"193","Female","0-2","elastic-transform",5,"AWS",230.450495049505,684
"194","Female","0-2","elastic-transform",5,"Azure",637.584158415842,684
"195","Female","0-2","elastic-transform",5,"GCP",477.356435643564,682
"196","Female","0-2","pixelate",1,"AWS",509.267326732673,684
"197","Female","0-2","pixelate",1,"Azure",678.861386138614,684
"198","Female","0-2","pixelate",1,"GCP",678.851485148515,682
"199","Female","0-2","pixelate",2,"AWS",491.623762376238,684
"200","Female","0-2","pixelate",2,"Azure",679.19801980198,684
"201","Female","0-2","pixelate",2,"GCP",679.178217821782,682
"202","Female","0-2","pixelate",3,"AWS",474.430693069307,684
"203","Female","0-2","pixelate",3,"Azure",677.376237623762,684
"204","Female","0-2","pixelate",3,"GCP",678.851485148515,682
"205","Female","0-2","pixelate",4,"AWS",446.455445544554,684
"206","Female","0-2","pixelate",4,"Azure",671.069306930693,684
"207","Female","0-2","pixelate",4,"GCP",676.851485148515,682
"208","Female","0-2","pixelate",5,"AWS",316.826732673267,684
"209","Female","0-2","pixelate",5,"Azure",660.089108910891,684
"210","Female","0-2","pixelate",5,"GCP",672.356435643564,682
"211","Female","0-2","jpeg-compression",1,"AWS",470.782178217822,684
"212","Female","0-2","jpeg-compression",1,"Azure",675.881188118812,684
"213","Female","0-2","jpeg-compression",1,"GCP",679.346534653465,682
"214","Female","0-2","jpeg-compression",2,"AWS",420.584158415842,684
"215","Female","0-2","jpeg-compression",2,"Azure",676.386138613861,684
"216","Female","0-2","jpeg-compression",2,"GCP",680.346534653465,682
"217","Female","0-2","jpeg-compression",3,"AWS",346.39603960396,684
"218","Female","0-2","jpeg-compression",3,"Azure",667.376237623762,684
"219","Female","0-2","jpeg-compression",3,"GCP",678.346534653465,682
