"","Skin.Type","Gender","Age","Lighting","Corruption","Severity","Service","sum_AP","n"
"1","Lighter","Feminine","19-45","Bright","gaussian-noise",1,"AWS",1355.83168316832,1357
"2","Lighter","Feminine","19-45","Bright","gaussian-noise",1,"Azure",1343.98514851485,1357
"3","Lighter","Feminine","19-45","Bright","gaussian-noise",1,"GCP",1348.69306930693,1353
"4","Lighter","Feminine","19-45","Bright","gaussian-noise",2,"AWS",1354.16831683168,1357
"5","Lighter","Feminine","19-45","Bright","gaussian-noise",2,"Azure",1333.36798679868,1357
"6","Lighter","Feminine","19-45","Bright","gaussian-noise",2,"GCP",1341.79207920792,1353
"7","Lighter","Feminine","19-45","Bright","gaussian-noise",3,"AWS",1352.84158415842,1357
"8","Lighter","Feminine","19-45","Bright","gaussian-noise",3,"Azure",1289.33168316832,1357
"9","Lighter","Feminine","19-45","Bright","gaussian-noise",3,"GCP",1323.26237623762,1353
"10","Lighter","Feminine","19-45","Bright","gaussian-noise",4,"AWS",1345.12376237624,1357
"11","Lighter","Feminine","19-45","Bright","gaussian-noise",4,"Azure",1109.22277227723,1357
"12","Lighter","Feminine","19-45","Bright","gaussian-noise",4,"GCP",1282.01485148515,1353
"13","Lighter","Feminine","19-45","Bright","gaussian-noise",5,"AWS",1301.75742574257,1357
"14","Lighter","Feminine","19-45","Bright","gaussian-noise",5,"Azure",517.014851485148,1357
"15","Lighter","Feminine","19-45","Bright","gaussian-noise",5,"GCP",1089.37623762376,1353
"16","Lighter","Feminine","19-45","Bright","shot-noise",1,"AWS",1356.32673267327,1357
"17","Lighter","Feminine","19-45","Bright","shot-noise",1,"Azure",1345.31683168317,1357
"18","Lighter","Feminine","19-45","Bright","shot-noise",1,"GCP",1347.11386138614,1353
"19","Lighter","Feminine","19-45","Bright","shot-noise",2,"AWS",1354.49504950495,1357
"20","Lighter","Feminine","19-45","Bright","shot-noise",2,"Azure",1334.0297029703,1357
"21","Lighter","Feminine","19-45","Bright","shot-noise",2,"GCP",1341.9504950495,1353
"22","Lighter","Feminine","19-45","Bright","shot-noise",3,"AWS",1351.83168316832,1357
"23","Lighter","Feminine","19-45","Bright","shot-noise",3,"Azure",1297.94059405941,1357
"24","Lighter","Feminine","19-45","Bright","shot-noise",3,"GCP",1329.99504950495,1353
"25","Lighter","Feminine","19-45","Bright","shot-noise",4,"AWS",1346.36633663366,1357
"26","Lighter","Feminine","19-45","Bright","shot-noise",4,"Azure",1047.60396039604,1357
"27","Lighter","Feminine","19-45","Bright","shot-noise",4,"GCP",1268.39108910891,1353
"28","Lighter","Feminine","19-45","Bright","shot-noise",5,"AWS",1331.93069306931,1357
"29","Lighter","Feminine","19-45","Bright","shot-noise",5,"Azure",607.485148514852,1357
"30","Lighter","Feminine","19-45","Bright","shot-noise",5,"GCP",1155.54785478548,1353
"31","Lighter","Feminine","19-45","Bright","impulse-noise",1,"AWS",1354.49504950495,1357
"32","Lighter","Feminine","19-45","Bright","impulse-noise",1,"Azure",1342.23762376238,1357
"33","Lighter","Feminine","19-45","Bright","impulse-noise",1,"GCP",1344.5396039604,1353
"34","Lighter","Feminine","19-45","Bright","impulse-noise",2,"AWS",1352.67326732673,1357
"35","Lighter","Feminine","19-45","Bright","impulse-noise",2,"Azure",1331.46699669967,1357
"36","Lighter","Feminine","19-45","Bright","impulse-noise",2,"GCP",1339.70792079208,1353
"37","Lighter","Feminine","19-45","Bright","impulse-noise",3,"AWS",1352.84158415842,1357
"38","Lighter","Feminine","19-45","Bright","impulse-noise",3,"Azure",1311.29537953795,1357
"39","Lighter","Feminine","19-45","Bright","impulse-noise",3,"GCP",1327.77722772277,1353
"40","Lighter","Feminine","19-45","Bright","impulse-noise",4,"AWS",1345.62871287129,1357
"41","Lighter","Feminine","19-45","Bright","impulse-noise",4,"Azure",1162.04455445545,1357
"42","Lighter","Feminine","19-45","Bright","impulse-noise",4,"GCP",1271.90594059406,1353
"43","Lighter","Feminine","19-45","Bright","impulse-noise",5,"AWS",1312.98514851485,1357
"44","Lighter","Feminine","19-45","Bright","impulse-noise",5,"Azure",719.094059405941,1357
"45","Lighter","Feminine","19-45","Bright","impulse-noise",5,"GCP",1095.91419141914,1353
"46","Lighter","Feminine","19-45","Bright","defocus-blur",1,"AWS",1356.66336633663,1357
"47","Lighter","Feminine","19-45","Bright","defocus-blur",1,"Azure",1353.02805280528,1357
"48","Lighter","Feminine","19-45","Bright","defocus-blur",1,"GCP",1349.76897689769,1353
"49","Lighter","Feminine","19-45","Bright","defocus-blur",2,"AWS",1357,1357
"50","Lighter","Feminine","19-45","Bright","defocus-blur",2,"Azure",1349.69801980198,1357
"51","Lighter","Feminine","19-45","Bright","defocus-blur",2,"GCP",1349.26732673267,1353
"52","Lighter","Feminine","19-45","Bright","defocus-blur",3,"AWS",1355.33663366337,1357
"53","Lighter","Feminine","19-45","Bright","defocus-blur",3,"Azure",1340.21947194719,1357
"54","Lighter","Feminine","19-45","Bright","defocus-blur",3,"GCP",1344.9603960396,1353
"55","Lighter","Feminine","19-45","Bright","defocus-blur",4,"AWS",1353.17821782178,1357
"56","Lighter","Feminine","19-45","Bright","defocus-blur",4,"Azure",1332.81105610561,1357
"57","Lighter","Feminine","19-45","Bright","defocus-blur",4,"GCP",1338.73762376238,1353
"58","Lighter","Feminine","19-45","Bright","defocus-blur",5,"AWS",1350.86138613861,1357
"59","Lighter","Feminine","19-45","Bright","defocus-blur",5,"Azure",1323.75495049505,1357
"60","Lighter","Feminine","19-45","Bright","defocus-blur",5,"GCP",1327.79702970297,1353
"61","Lighter","Feminine","19-45","Bright","glass-blur",1,"AWS",1357,1357
"62","Lighter","Feminine","19-45","Bright","glass-blur",1,"Azure",1354.67656765677,1357
"63","Lighter","Feminine","19-45","Bright","glass-blur",1,"GCP",1351.42574257426,1353
"64","Lighter","Feminine","19-45","Bright","glass-blur",2,"AWS",1357,1357
"65","Lighter","Feminine","19-45","Bright","glass-blur",2,"Azure",1355.34488448845,1357
"66","Lighter","Feminine","19-45","Bright","glass-blur",2,"GCP",1350.43564356436,1353
"67","Lighter","Feminine","19-45","Bright","glass-blur",3,"AWS",1356.66336633663,1357
"68","Lighter","Feminine","19-45","Bright","glass-blur",3,"Azure",1352.69141914191,1357
"69","Lighter","Feminine","19-45","Bright","glass-blur",3,"GCP",1350.26402640264,1353
"70","Lighter","Feminine","19-45","Bright","glass-blur",4,"AWS",1356.50495049505,1357
"71","Lighter","Feminine","19-45","Bright","glass-blur",4,"Azure",1352.69141914191,1357
"72","Lighter","Feminine","19-45","Bright","glass-blur",4,"GCP",1349.76237623762,1353
"73","Lighter","Feminine","19-45","Bright","glass-blur",5,"AWS",1356.16831683168,1357
"74","Lighter","Feminine","19-45","Bright","glass-blur",5,"Azure",1350.03135313531,1357
"75","Lighter","Feminine","19-45","Bright","glass-blur",5,"GCP",1348.93069306931,1353
"76","Lighter","Feminine","19-45","Bright","motion-blur",1,"AWS",1356.66336633663,1357
"77","Lighter","Feminine","19-45","Bright","motion-blur",1,"Azure",1352.70297029703,1357
"78","Lighter","Feminine","19-45","Bright","motion-blur",1,"GCP",1351.0099009901,1353
