"","Age","Gender","Corruption","Severity","Service","sum_AP","n"
"1","0-2","Female","gaussian-noise",1,"AWS",416.661881188119,684
"2","0-2","Female","gaussian-noise",1,"Azure",549.035148514851,684
"3","0-2","Female","gaussian-noise",1,"GCP",668.509900990099,682
"4","0-2","Female","gaussian-noise",1,"MogFace",612.923762376238,684
"5","0-2","Female","gaussian-noise",1,"TinaFace",159.29900990099,619
"6","0-2","Female","gaussian-noise",1,"Yolov5",463.657508250825,684
"7","0-2","Female","gaussian-noise",2,"AWS",328.018811881188,684
"8","0-2","Female","gaussian-noise",2,"Azure",454.828712871287,684
"9","0-2","Female","gaussian-noise",2,"GCP",638.828712871287,682
"10","0-2","Female","gaussian-noise",2,"MogFace",559.086138613861,684
"11","0-2","Female","gaussian-noise",2,"TinaFace",35.5,619
"12","0-2","Female","gaussian-noise",2,"Yolov5",298.301320132013,684
"13","0-2","Female","gaussian-noise",3,"AWS",195.336138613861,684
"14","0-2","Female","gaussian-noise",3,"Azure",266.049504950495,684
"15","0-2","Female","gaussian-noise",3,"GCP",607.047524752475,682
"16","0-2","Female","gaussian-noise",3,"MogFace",473.802475247525,684
"17","0-2","Female","gaussian-noise",3,"TinaFace",0,619
"18","0-2","Female","gaussian-noise",3,"Yolov5",83.4683168316832,684
"19","0-2","Female","gaussian-noise",4,"AWS",82.6633663366336,684
"20","0-2","Female","gaussian-noise",4,"Azure",96.859405940594,684
"21","0-2","Female","gaussian-noise",4,"GCP",525.69900990099,682
"22","0-2","Female","gaussian-noise",4,"MogFace",296.573267326733,684
"23","0-2","Female","gaussian-noise",4,"TinaFace",0,619
"24","0-2","Female","gaussian-noise",4,"Yolov5",4.63514851485148,684
"25","0-2","Female","gaussian-noise",5,"AWS",14.1019801980198,684
"26","0-2","Female","gaussian-noise",5,"Azure",14.0039603960396,684
"27","0-2","Female","gaussian-noise",5,"GCP",395.130693069307,682
"28","0-2","Female","gaussian-noise",5,"MogFace",75.8722772277228,684
"29","0-2","Female","gaussian-noise",5,"TinaFace",0,619
"30","0-2","Female","gaussian-noise",5,"Yolov5",0,684
"31","0-2","Female","shot-noise",1,"AWS",398.808580858086,684
"32","0-2","Female","shot-noise",1,"Azure",545.59504950495,684
"33","0-2","Female","shot-noise",1,"GCP",666.59603960396,682
"34","0-2","Female","shot-noise",1,"MogFace",607.433663366337,684
"35","0-2","Female","shot-noise",1,"TinaFace",187.613861386139,619
"36","0-2","Female","shot-noise",1,"Yolov5",450.231320132013,684
"37","0-2","Female","shot-noise",2,"AWS",307.810396039604,684
"38","0-2","Female","shot-noise",2,"Azure",420.953465346535,684
"39","0-2","Female","shot-noise",2,"GCP",636.99702970297,682
"40","0-2","Female","shot-noise",2,"MogFace",557.066336633663,684
"41","0-2","Female","shot-noise",2,"TinaFace",50.5,619
"42","0-2","Female","shot-noise",2,"Yolov5",267.509240924092,684
"43","0-2","Female","shot-noise",3,"AWS",185.706930693069,684
"44","0-2","Female","shot-noise",3,"Azure",219.642574257426,684
"45","0-2","Female","shot-noise",3,"GCP",596.781188118812,682
"46","0-2","Female","shot-noise",3,"MogFace",486.036138613861,684
"47","0-2","Female","shot-noise",3,"TinaFace",0,619
"48","0-2","Female","shot-noise",3,"Yolov5",93.6846534653465,684
"49","0-2","Female","shot-noise",4,"AWS",55.9128712871287,684
"50","0-2","Female","shot-noise",4,"Azure",54.8039603960396,684
"51","0-2","Female","shot-noise",4,"GCP",503.174752475247,682
"52","0-2","Female","shot-noise",4,"MogFace",317.722772277228,684
"53","0-2","Female","shot-noise",4,"TinaFace",0,619
"54","0-2","Female","shot-noise",4,"Yolov5",5.85346534653465,684
"55","0-2","Female","shot-noise",5,"AWS",18.8009900990099,684
"56","0-2","Female","shot-noise",5,"Azure",15,684
"57","0-2","Female","shot-noise",5,"GCP",431.35297029703,682
"58","0-2","Female","shot-noise",5,"MogFace",154.69801980198,684
"59","0-2","Female","shot-noise",5,"TinaFace",0,619
"60","0-2","Female","shot-noise",5,"Yolov5",0.3,684
"61","0-2","Female","impulse-noise",1,"AWS",255.109900990099,684
"62","0-2","Female","impulse-noise",1,"Azure",500.770297029703,684
"63","0-2","Female","impulse-noise",1,"GCP",660.337623762376,682
"64","0-2","Female","impulse-noise",1,"MogFace",505.636138613861,684
"65","0-2","Female","impulse-noise",1,"TinaFace",5.62277227722772,619
