"","SkinType","Gender","Age","Lighting","Corruption","Severity","Service","sum_AP","n"
"1","Lighter","Feminine","19-45","Bright","gaussian-noise",1,"AWS",1342.21534653465,1357
"2","Lighter","Feminine","19-45","Bright","gaussian-noise",1,"Azure",1295.64455445545,1357
"3","Lighter","Feminine","19-45","Bright","gaussian-noise",1,"GCP",1330.5599009901,1353
"4","Lighter","Feminine","19-45","Bright","gaussian-noise",1,"MogFace",1282.19257425743,1358
"5","Lighter","Feminine","19-45","Bright","gaussian-noise",1,"TinaFace",1334.40231023102,1358
"6","Lighter","Feminine","19-45","Bright","gaussian-noise",1,"Yolov5",1199.00726072607,1358
"7","Lighter","Feminine","19-45","Bright","gaussian-noise",2,"AWS",1317.33168316832,1357
"8","Lighter","Feminine","19-45","Bright","gaussian-noise",2,"Azure",1254.02920792079,1357
"9","Lighter","Feminine","19-45","Bright","gaussian-noise",2,"GCP",1309.0603960396,1353
"10","Lighter","Feminine","19-45","Bright","gaussian-noise",2,"MogFace",1216.88910891089,1358
"11","Lighter","Feminine","19-45","Bright","gaussian-noise",2,"TinaFace",1317.4301980198,1358
"12","Lighter","Feminine","19-45","Bright","gaussian-noise",2,"Yolov5",1136.94283828383,1358
"13","Lighter","Feminine","19-45","Bright","gaussian-noise",3,"AWS",1279.30742574257,1357
"14","Lighter","Feminine","19-45","Bright","gaussian-noise",3,"Azure",1171.41089108911,1357
"15","Lighter","Feminine","19-45","Bright","gaussian-noise",3,"GCP",1256.88613861386,1353
"16","Lighter","Feminine","19-45","Bright","gaussian-noise",3,"MogFace",1076.09900990099,1358
"17","Lighter","Feminine","19-45","Bright","gaussian-noise",3,"TinaFace",1266.3004950495,1358
"18","Lighter","Feminine","19-45","Bright","gaussian-noise",3,"Yolov5",971.787788778878,1358
"19","Lighter","Feminine","19-45","Bright","gaussian-noise",4,"AWS",1235.15544554455,1357
"20","Lighter","Feminine","19-45","Bright","gaussian-noise",4,"Azure",977.008910891089,1357
"21","Lighter","Feminine","19-45","Bright","gaussian-noise",4,"GCP",1172.11683168317,1353
"22","Lighter","Feminine","19-45","Bright","gaussian-noise",4,"MogFace",784.50297029703,1358
"23","Lighter","Feminine","19-45","Bright","gaussian-noise",4,"TinaFace",1093.98267326733,1358
"24","Lighter","Feminine","19-45","Bright","gaussian-noise",4,"Yolov5",356.717491749175,1358
"25","Lighter","Feminine","19-45","Bright","gaussian-noise",5,"AWS",1159.33828382838,1357
"26","Lighter","Feminine","19-45","Bright","gaussian-noise",5,"Azure",440.455445544554,1357
"27","Lighter","Feminine","19-45","Bright","gaussian-noise",5,"GCP",964.482838283828,1353
"28","Lighter","Feminine","19-45","Bright","gaussian-noise",5,"MogFace",311.756930693069,1358
"29","Lighter","Feminine","19-45","Bright","gaussian-noise",5,"TinaFace",525.724752475247,1358
"30","Lighter","Feminine","19-45","Bright","gaussian-noise",5,"Yolov5",1.83366336633663,1358
"31","Lighter","Feminine","19-45","Bright","shot-noise",1,"AWS",1341.37079207921,1357
"32","Lighter","Feminine","19-45","Bright","shot-noise",1,"Azure",1293.84306930693,1357
"33","Lighter","Feminine","19-45","Bright","shot-noise",1,"GCP",1326.9698019802,1353
"34","Lighter","Feminine","19-45","Bright","shot-noise",1,"MogFace",1283.76287128713,1358
"35","Lighter","Feminine","19-45","Bright","shot-noise",1,"TinaFace",1336.90693069307,1358
"36","Lighter","Feminine","19-45","Bright","shot-noise",1,"Yolov5",1194.48765205092,1358
"37","Lighter","Feminine","19-45","Bright","shot-noise",2,"AWS",1314.00891089109,1357
"38","Lighter","Feminine","19-45","Bright","shot-noise",2,"Azure",1243.26435643564,1357
"39","Lighter","Feminine","19-45","Bright","shot-noise",2,"GCP",1308.23267326733,1353
"40","Lighter","Feminine","19-45","Bright","shot-noise",2,"MogFace",1211.77128712871,1358
"41","Lighter","Feminine","19-45","Bright","shot-noise",2,"TinaFace",1316.07277227723,1358
"42","Lighter","Feminine","19-45","Bright","shot-noise",2,"Yolov5",1125.71614804338,1358
"43","Lighter","Feminine","19-45","Bright","shot-noise",3,"AWS",1284.52326732673,1357
"44","Lighter","Feminine","19-45","Bright","shot-noise",3,"Azure",1178.61732673267,1357
"45","Lighter","Feminine","19-45","Bright","shot-noise",3,"GCP",1266.83217821782,1353
"46","Lighter","Feminine","19-45","Bright","shot-noise",3,"MogFace",1085.70841584158,1358
"47","Lighter","Feminine","19-45","Bright","shot-noise",3,"TinaFace",1272.53613861386,1358
"48","Lighter","Feminine","19-45","Bright","shot-noise",3,"Yolov5",998.178712871287,1358
"49","Lighter","Feminine","19-45","Bright","shot-noise",4,"AWS",1235.02277227723,1357
"50","Lighter","Feminine","19-45","Bright","shot-noise",4,"Azure",913.60198019802,1357
"51","Lighter","Feminine","19-45","Bright","shot-noise",4,"GCP",1161.14405940594,1353
"52","Lighter","Feminine","19-45","Bright","shot-noise",4,"MogFace",699.484653465346,1358
"53","Lighter","Feminine","19-45","Bright","shot-noise",4,"TinaFace",1035.79702970297,1358
"54","Lighter","Feminine","19-45","Bright","shot-noise",4,"Yolov5",164.554785478548,1358
"55","Lighter","Feminine","19-45","Bright","shot-noise",5,"AWS",1186.71518151815,1357
"56","Lighter","Feminine","19-45","Bright","shot-noise",5,"Azure",513.476237623762,1357
"57","Lighter","Feminine","19-45","Bright","shot-noise",5,"GCP",1034.02904290429,1353
"58","Lighter","Feminine","19-45","Bright","shot-noise",5,"MogFace",324.242904290429,1358
"59","Lighter","Feminine","19-45","Bright","shot-noise",5,"TinaFace",614.743069306931,1358
"60","Lighter","Feminine","19-45","Bright","shot-noise",5,"Yolov5",1.63415841584158,1358
"61","Lighter","Feminine","19-45","Bright","impulse-noise",1,"AWS",1330.98861386139,1357
"62","Lighter","Feminine","19-45","Bright","impulse-noise",1,"Azure",1291.80198019802,1357
"63","Lighter","Feminine","19-45","Bright","impulse-noise",1,"GCP",1323.61881188119,1353
"64","Lighter","Feminine","19-45","Bright","impulse-noise",1,"MogFace",1246.45148514851,1358
"65","Lighter","Feminine","19-45","Bright","impulse-noise",1,"TinaFace",1325.92277227723,1358
"66","Lighter","Feminine","19-45","Bright","impulse-noise",1,"Yolov5",1174.87673267327,1358
"67","Lighter","Feminine","19-45","Bright","impulse-noise",2,"AWS",1308.08564356436,1357
"68","Lighter","Feminine","19-45","Bright","impulse-noise",2,"Azure",1248.22772277228,1357
"69","Lighter","Feminine","19-45","Bright","impulse-noise",2,"GCP",1302.28267326733,1353
"70","Lighter","Feminine","19-45","Bright","impulse-noise",2,"MogFace",1176.75297029703,1358
"71","Lighter","Feminine","19-45","Bright","impulse-noise",2,"TinaFace",1303.29108910891,1358
"72","Lighter","Feminine","19-45","Bright","impulse-noise",2,"Yolov5",1111.71584158416,1358
"73","Lighter","Feminine","19-45","Bright","impulse-noise",3,"AWS",1289.34752475248,1357
"74","Lighter","Feminine","19-45","Bright","impulse-noise",3,"Azure",1206.72920792079,1357
"75","Lighter","Feminine","19-45","Bright","impulse-noise",3,"GCP",1275.60148514851,1353
"76","Lighter","Feminine","19-45","Bright","impulse-noise",3,"MogFace",1094.10396039604,1358
"77","Lighter","Feminine","19-45","Bright","impulse-noise",3,"TinaFace",1275.72623762376,1358
"78","Lighter","Feminine","19-45","Bright","impulse-noise",3,"Yolov5",1027.00778877888,1358
"79","Lighter","Feminine","19-45","Bright","impulse-noise",4,"AWS",1243.34702970297,1357
"80","Lighter","Feminine","19-45","Bright","impulse-noise",4,"Azure",1030.9301980198,1357
"81","Lighter","Feminine","19-45","Bright","impulse-noise",4,"GCP",1172.48316831683,1353
"82","Lighter","Feminine","19-45","Bright","impulse-noise",4,"MogFace",794.570297029703,1358
"83","Lighter","Feminine","19-45","Bright","impulse-noise",4,"TinaFace",1130.15594059406,1358
"84","Lighter","Feminine","19-45","Bright","impulse-noise",4,"Yolov5",393.109040546912,1358
"85","Lighter","Feminine","19-45","Bright","impulse-noise",5,"AWS",1170.07425742574,1357
"86","Lighter","Feminine","19-45","Bright","impulse-noise",5,"Azure",616.768316831683,1357
"87","Lighter","Feminine","19-45","Bright","impulse-noise",5,"GCP",980.572277227723,1353
"88","Lighter","Feminine","19-45","Bright","impulse-noise",5,"MogFace",381.686633663366,1358
"89","Lighter","Feminine","19-45","Bright","impulse-noise",5,"TinaFace",712.198184818482,1358
"90","Lighter","Feminine","19-45","Bright","impulse-noise",5,"Yolov5",0.2,1358
"91","Lighter","Feminine","19-45","Bright","defocus-blur",1,"AWS",1351.48382838284,1357
"92","Lighter","Feminine","19-45","Bright","defocus-blur",1,"Azure",1343.08415841584,1357
"93","Lighter","Feminine","19-45","Bright","defocus-blur",1,"GCP",1343.73118811881,1353
