"","Gender","Age","Corruption","Severity","Service","sum_AP","n"
"1","Predominantly Feminine","Young","gaussian-noise",1,"AWS",1221.80671067107,1370
"2","Predominantly Feminine","Young","gaussian-noise",1,"Azure",1104.22425742574,1293
"3","Predominantly Feminine","Young","gaussian-noise",1,"GCP",1148.61633663366,1271
"4","Predominantly Feminine","Young","gaussian-noise",1,"MogFace",1095.69138142386,1394
"5","Predominantly Feminine","Young","gaussian-noise",1,"TinaFace",1124.99666616662,1347
"6","Predominantly Feminine","Young","gaussian-noise",1,"Yolov5",1129.23025492436,1468
"7","Predominantly Feminine","Young","gaussian-noise",2,"AWS",1163.41391324847,1370
"8","Predominantly Feminine","Young","gaussian-noise",2,"Azure",1006.53118811881,1293
"9","Predominantly Feminine","Young","gaussian-noise",2,"GCP",1085.16617161716,1271
"10","Predominantly Feminine","Young","gaussian-noise",2,"MogFace",947.92818717586,1394
"11","Predominantly Feminine","Young","gaussian-noise",2,"TinaFace",974.953323903819,1347
"12","Predominantly Feminine","Young","gaussian-noise",2,"Yolov5",1044.92352983448,1468
"13","Predominantly Feminine","Young","gaussian-noise",3,"AWS",1074.3297029703,1370
"14","Predominantly Feminine","Young","gaussian-noise",3,"Azure",863.207425742574,1293
"15","Predominantly Feminine","Young","gaussian-noise",3,"GCP",1002.76567656766,1271
"16","Predominantly Feminine","Young","gaussian-noise",3,"MogFace",770.69603960396,1394
"17","Predominantly Feminine","Young","gaussian-noise",3,"TinaFace",694.835643564356,1347
"18","Predominantly Feminine","Young","gaussian-noise",3,"Yolov5",940.571385958924,1468
"19","Predominantly Feminine","Young","gaussian-noise",4,"AWS",940.039933993399,1370
"20","Predominantly Feminine","Young","gaussian-noise",4,"Azure",704.264356435643,1293
"21","Predominantly Feminine","Young","gaussian-noise",4,"GCP",885.39801980198,1271
"22","Predominantly Feminine","Young","gaussian-noise",4,"MogFace",550.90198019802,1394
"23","Predominantly Feminine","Young","gaussian-noise",4,"TinaFace",317.791584158416,1347
"24","Predominantly Feminine","Young","gaussian-noise",4,"Yolov5",805.435924623975,1468
"25","Predominantly Feminine","Young","gaussian-noise",5,"AWS",754.002145214521,1370
"26","Predominantly Feminine","Young","gaussian-noise",5,"Azure",470.513861386139,1293
"27","Predominantly Feminine","Young","gaussian-noise",5,"GCP",661.8,1271
"28","Predominantly Feminine","Young","gaussian-noise",5,"MogFace",270.683663366337,1394
"29","Predominantly Feminine","Young","gaussian-noise",5,"TinaFace",39.029702970297,1347
"30","Predominantly Feminine","Young","gaussian-noise",5,"Yolov5",509.298745874587,1468
"31","Predominantly Feminine","Young","shot-noise",1,"AWS",1242.02370462046,1370
"32","Predominantly Feminine","Young","shot-noise",1,"Azure",1118.20858085809,1293
"33","Predominantly Feminine","Young","shot-noise",1,"GCP",1155.7998349835,1271
"34","Predominantly Feminine","Young","shot-noise",1,"MogFace",1112.94209270927,1394
"35","Predominantly Feminine","Young","shot-noise",1,"TinaFace",1138.59590759076,1347
"36","Predominantly Feminine","Young","shot-noise",1,"Yolov5",1143.8593322203,1468
"37","Predominantly Feminine","Young","shot-noise",2,"AWS",1161.45094509451,1370
"38","Predominantly Feminine","Young","shot-noise",2,"Azure",996.989356435643,1293
"39","Predominantly Feminine","Young","shot-noise",2,"GCP",1078.3702970297,1271
"40","Predominantly Feminine","Young","shot-noise",2,"MogFace",958.697442244224,1394
"41","Predominantly Feminine","Young","shot-noise",2,"TinaFace",978.890660066006,1347
