"","Age","Gender","Corruption","Severity","Service","sum_AP","n"
"1","0-18","Female","gaussian-noise",1,"AWS",2317.73597359736,2391
"2","0-18","Female","gaussian-noise",1,"Azure",2324.79207920792,2382
"3","0-18","Female","gaussian-noise",1,"GCP",2286.25247524752,2385
"4","0-18","Female","gaussian-noise",2,"AWS",2225.76732673267,2391
"5","0-18","Female","gaussian-noise",2,"Azure",2256.36633663366,2382
"6","0-18","Female","gaussian-noise",2,"GCP",2065.52475247525,2385
"7","0-18","Female","gaussian-noise",3,"AWS",2024.07920792079,2391
"8","0-18","Female","gaussian-noise",3,"Azure",1982.84653465347,2382
"9","0-18","Female","gaussian-noise",3,"GCP",1905.59405940594,2385
"10","0-18","Female","gaussian-noise",4,"AWS",1498.20792079208,2391
"11","0-18","Female","gaussian-noise",4,"Azure",1331.74257425743,2382
"12","0-18","Female","gaussian-noise",4,"GCP",1693.90264026403,2385
"13","0-18","Female","gaussian-noise",5,"AWS",623.534653465347,2391
"14","0-18","Female","gaussian-noise",5,"Azure",476.029702970297,2382
"15","0-18","Female","gaussian-noise",5,"GCP",1124.11881188119,2385
"16","0-18","Female","shot-noise",1,"AWS",2267.699669967,2391
"17","0-18","Female","shot-noise",1,"Azure",2296.63366336634,2382
"18","0-18","Female","shot-noise",1,"GCP",2146.24752475248,2385
"19","0-18","Female","shot-noise",2,"AWS",2128.89108910891,2391
"20","0-18","Female","shot-noise",2,"Azure",2149.0396039604,2382
"21","0-18","Female","shot-noise",2,"GCP",1929.25742574257,2385
"22","0-18","Female","shot-noise",3,"AWS",1851.51485148515,2391
"23","0-18","Female","shot-noise",3,"Azure",1742.79207920792,2382
"24","0-18","Female","shot-noise",3,"GCP",1774.84653465347,2385
"25","0-18","Female","shot-noise",4,"AWS",1168.74257425743,2391
"26","0-18","Female","shot-noise",4,"Azure",912.029702970297,2382
"27","0-18","Female","shot-noise",4,"GCP",1402.89603960396,2385
"28","0-18","Female","shot-noise",5,"AWS",592.618811881188,2391
"29","0-18","Female","shot-noise",5,"Azure",401.346534653465,2382
"30","0-18","Female","shot-noise",5,"GCP",1096.5396039604,2385
"31","0-18","Female","impulse-noise",1,"AWS",2234.32673267327,2391
"32","0-18","Female","impulse-noise",1,"Azure",2320.30693069307,2382
"33","0-18","Female","impulse-noise",1,"GCP",2332.71287128713,2385
